Simulation_ID,Directory,File,Chain,Type,State,Role,Partner,CoFactor_Name,CoFactor_aC_Dist,CoFactor_ActLoop_Dist,Interface_C_Lobe_Donor_Dist,Interface_N_Lobe_Rec_Dist,R_Spine,C_Spine,C_Helix,Shell_State,Spatial,Dihedral,ActLoop_NT,ActLoop_CT,Phi_D,Psi_D,Cleft_Gape_Dist,Mg_Hijack_Dist,Substrate_Clearance_Angle,D1_Dist,D2_Dist,SB_Dist,HRD_ATP_Dist,DFG_Mg_Dist,DFG_ATP_Dist,PLoop_ATP_Dist,aCb4_aE_Dist,Spine_Bridge_Dist,V104_RS2_Dist,I150_HRD_Dist,Shell_M118_M120_Dist,Y156_N99_Dist,K105_E107_Dist,K105_E121_Dist,K105_N99_Dist,D220_HRD_Dist,ipTM,pTM
csk-wtcat_apo_seed-1209607_sample-4_model,csk-wtcat_apo/seed-1209607_sample-4,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,60.4,74.85,14.71,,,6.45,13.68,2.73,,,,,3.51,8.07,7.36,9.78,3.72,7.98,4.99,3.34,3.58,3.5,N/A,0.93
csk-wtcat_apo_seed-1270458_sample-0_model,csk-wtcat_apo/seed-1270458_sample-0,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.53,74.48,13.86,,,6.4,13.47,2.77,,,,,3.48,8.09,7.33,9.79,3.77,8.05,4.59,3.24,3.79,3.53,N/A,0.93
csk-wtcat_apo_seed-1270458_sample-1_model,csk-wtcat_apo/seed-1270458_sample-1,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.43,77.83,14.1,,,6.39,13.63,2.73,,,,,3.43,8.12,7.38,9.76,3.74,8.0,5.05,3.31,3.63,3.54,N/A,0.93
csk-wtcat_apo_seed-1270458_sample-2_model,csk-wtcat_apo/seed-1270458_sample-2,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,60.9,73.78,14.05,,,6.42,13.67,2.84,,,,,3.49,8.08,7.35,9.84,3.58,8.08,4.78,3.21,2.9,3.52,N/A,0.93
csk-wtcat_apo_seed-1270458_sample-3_model,csk-wtcat_apo/seed-1270458_sample-3,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,58.6,66.39,14.24,,,6.45,13.93,3.11,,,,,3.41,8.12,7.28,9.86,3.82,8.23,4.58,3.27,3.62,3.54,N/A,0.93
csk-wtcat_apo_seed-1270458_sample-4_model,csk-wtcat_apo/seed-1270458_sample-4,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.28,74.55,14.07,,,6.45,13.66,2.73,,,,,3.47,8.07,7.31,9.75,3.74,8.06,4.6,3.24,3.54,3.54,N/A,0.93
csk-wtcat_apo_seed-1321773_sample-0_model,csk-wtcat_apo/seed-1321773_sample-0,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.29,71.57,14.79,,,6.45,13.76,2.81,,,,,3.51,8.09,7.32,9.83,3.98,8.06,4.65,3.21,3.7,3.54,N/A,0.93
csk-wtcat_apo_seed-1321773_sample-1_model,csk-wtcat_apo/seed-1321773_sample-1,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.09,72.65,14.06,,,6.44,13.71,2.74,,,,,3.46,8.08,7.31,9.81,3.67,8.12,4.59,3.2,3.72,3.54,N/A,0.93
csk-wtcat_apo_seed-1321773_sample-2_model,csk-wtcat_apo/seed-1321773_sample-2,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,60.6,73.68,14.64,,,6.38,13.77,2.7,,,,,3.47,8.12,7.38,9.8,3.72,8.13,5.0,3.28,3.5,3.51,N/A,0.93
csk-wtcat_apo_seed-1321773_sample-3_model,csk-wtcat_apo/seed-1321773_sample-3,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.18,75.46,14.64,,,6.31,13.86,2.7,,,,,3.47,8.03,7.33,9.8,3.66,8.12,4.59,3.21,3.56,3.52,N/A,0.93
