Simulation_ID,Condition_designed,Condition_reviewed,Macro_State
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1931459_sample-2_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1931459_sample-3_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1931459_sample-4_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 2
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1949213_sample-0_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1949213_sample-1_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1949213_sample-2_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1949213_sample-3_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1949213_sample-4_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-apo_seed-253176_sample-0_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-apo_seed-253176_sample-1_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 2
a-csk-wtcat-apo_b-src-wtcat-apo_seed-253176_sample-2_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 2
a-csk-wtcat-apo_b-src-wtcat-apo_seed-253176_sample-3_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-apo_seed-253176_sample-4_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-apo_seed-308007_sample-0_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-apo_seed-308007_sample-1_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-apo_seed-308007_sample-2_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 2
a-csk-wtcat-apo_b-src-wtcat-apo_seed-308007_sample-3_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-apo_seed-308007_sample-4_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 2
a-csk-wtcat-apo_b-src-wtcat-apo_seed-4012_sample-0_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 3
a-csk-wtcat-apo_b-src-wtcat-apo_seed-4012_sample-1_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-apo_seed-4012_sample-2_model,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo",State 1
