chainA_metric,chainB_metric,homologous,rho_raw,p_raw,rho_partial,p_partial,n_conditions,fdr_raw,fdr_partial
Mg_Hijack_Dist,SB_Dist,False,-0.03415120760971214,0.4229994320891586,-0.028140315950921535,0.5122715904624742,4,0.7228101884437713,0.7854627734748263
Substrate_Clearance_Angle,K105_N99_Dist,False,-0.03406668422290009,0.42414903419096306,-0.04261770166035867,0.3208174152761105,4,0.7228101884437713,0.6576186163666892
I150_HRD_Dist,DFG_ATP_Dist,False,0.05310673066967069,0.42627779025406864,0.05394280993444148,0.4253175169674539,3,0.7242950064493909,0.74012957635424
PLoop_ATP_Dist,D2_Dist,False,0.03377832306141296,0.42808470552986266,-0.016711478434017105,0.6972063359895571,4,0.7252258540741203,0.8832700042461599
HRD_ATP_Dist,Phi_D,False,-0.03346591497758569,0.4323723849259222,-0.03179569228358429,0.45900774565959734,4,0.7268918690392931,0.7604101727666207
Spine_Bridge_Dist,Interface_N_Lobe_Rec_Dist,False,0.028205070500033555,0.43251374420298494,0.04337986390445602,0.23144248870692152,7,0.7268918690392931,0.5777765411339318
V104_RS2_Dist,D1_Dist,False,0.028184233124683187,0.43285401229249576,0.021922910137162667,0.5455313579556118,7,0.7268918690392931,0.8036472178578834
Phi_D,Y156_N99_Dist,False,0.027841227288158136,0.4384773611761781,0.030731877777954473,0.39672413532924344,7,0.7308083868794476,0.7185946602190071
aCb4_aE_Dist,Interface_N_Lobe_Rec_Dist,False,-0.027812967025574772,0.438942529198487,-0.026564497064424503,0.4638604039101648,7,0.7308083868794476,0.7612145164795837
K105_E121_Dist,Psi_D,False,0.02772449404548139,0.4404006342372231,0.02426300776747469,0.5034851016970481,7,0.7308083868794476,0.781691155195417
DFG_ATP_Dist,D2_Dist,False,0.032815670486069995,0.4413757536347491,0.032329730351073054,0.45149353972014405,4,0.7308083868794476,0.7594453866368682
HRD_ATP_Dist,D220_HRD_Dist,False,0.03280459213989349,0.4415300670729996,0.07035154030335397,0.10088943770416559,4,0.7308083868794476,0.3848497756132409
