Simulation_ID,Directory,File,Chain,Type,State,Role,Partner,CoFactor_Name,CoFactor_aC_Dist,CoFactor_ActLoop_Dist,Interface_C_Lobe_Donor_Dist,Interface_N_Lobe_Rec_Dist,R_Spine,C_Spine,C_Helix,Shell_State,Spatial,Dihedral,ActLoop_NT,ActLoop_CT,Phi_D,Psi_D,Cleft_Gape_Dist,Mg_Hijack_Dist,Substrate_Clearance_Angle,D1_Dist,D2_Dist,SB_Dist,HRD_ATP_Dist,DFG_Mg_Dist,DFG_ATP_Dist,PLoop_ATP_Dist,aCb4_aE_Dist,Spine_Bridge_Dist,V104_RS2_Dist,I150_HRD_Dist,Shell_M118_M120_Dist,Y156_N99_Dist,K105_E107_Dist,K105_E121_Dist,K105_N99_Dist,D220_HRD_Dist,ipTM,pTM
csk-wtcat_apo_seed-1332499_sample-4_model,csk-wtcat_apo/seed-1332499_sample-4,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,60.82,72.19,14.64,,,6.37,13.84,2.86,,,,,3.48,8.07,7.38,9.83,4.06,8.05,4.99,3.41,3.51,3.52,N/A,0.93
csk-wtcat_apo_seed-1336202_sample-0_model,csk-wtcat_apo/seed-1336202_sample-0,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,60.83,73.13,13.77,,,6.46,13.5,2.79,,,,,3.44,8.05,7.32,9.79,3.71,8.04,4.59,3.24,3.75,3.52,N/A,0.93
csk-wtcat_apo_seed-1336202_sample-1_model,csk-wtcat_apo/seed-1336202_sample-1,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,60.13,75.2,14.39,,,6.36,13.76,2.71,,,,,3.42,8.06,7.35,9.8,3.7,8.03,4.66,3.26,3.56,3.53,N/A,0.93
csk-wtcat_apo_seed-1336202_sample-2_model,csk-wtcat_apo/seed-1336202_sample-2,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.1,74.4,14.32,,,6.4,13.56,2.68,,,,,3.39,8.07,7.33,9.75,3.75,7.97,4.6,3.22,3.75,3.53,N/A,0.93
csk-wtcat_apo_seed-1336202_sample-3_model,csk-wtcat_apo/seed-1336202_sample-3,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,60.29,74.02,14.03,,,6.36,13.58,2.77,,,,,3.48,8.09,7.32,9.82,3.72,8.03,4.65,3.22,3.61,3.55,N/A,0.93
csk-wtcat_apo_seed-1336202_sample-4_model,csk-wtcat_apo/seed-1336202_sample-4,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.45,74.75,14.64,,,6.39,13.85,2.75,,,,,3.47,8.12,7.36,9.76,3.73,8.03,4.98,3.39,3.59,3.53,N/A,0.93
csk-wtcat_apo_seed-136750_sample-0_model,csk-wtcat_apo/seed-136750_sample-0,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.65,73.32,14.39,,,6.44,13.52,2.75,,,,,3.4,8.1,7.32,9.79,3.7,8.01,4.64,3.21,4.22,3.52,N/A,0.93
csk-wtcat_apo_seed-136750_sample-1_model,csk-wtcat_apo/seed-136750_sample-1,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.09,74.06,14.04,,,6.5,13.58,2.7,,,,,3.45,8.13,7.4,9.79,3.79,8.01,5.04,3.35,4.26,3.55,N/A,0.93
csk-wtcat_apo_seed-136750_sample-2_model,csk-wtcat_apo/seed-136750_sample-2,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.24,72.78,14.32,,,6.45,13.71,2.75,,,,,3.36,8.05,7.32,9.77,3.74,8.06,4.61,3.21,3.69,3.54,N/A,0.93
csk-wtcat_apo_seed-136750_sample-3_model,csk-wtcat_apo/seed-136750_sample-3,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.23,77.16,14.21,,,6.39,13.65,2.72,,,,,3.45,8.13,7.4,9.79,3.75,8.06,5.03,3.37,3.82,3.5,N/A,0.93
csk-wtcat_apo_seed-136750_sample-4_model,csk-wtcat_apo/seed-136750_sample-4,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,60.65,71.9,14.09,,,6.39,13.82,2.84,,,,,3.47,8.16,7.4,9.87,4.08,8.19,5.06,3.43,3.53,3.51,N/A,0.93
csk-wtcat_apo_seed-1368324_sample-0_model,csk-wtcat_apo/seed-1368324_sample-0,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,60.64,75.98,14.85,,,6.36,14.0,2.86,,,,,3.5,8.12,7.36,9.84,4.11,8.03,5.01,3.42,3.71,3.52,N/A,0.93
csk-wtcat_apo_seed-1368324_sample-1_model,csk-wtcat_apo/seed-1368324_sample-1,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,60.83,74.47,13.83,,,6.47,13.52,2.77,,,,,3.42,8.09,7.36,9.83,3.72,8.09,4.69,3.26,4.38,3.52,N/A,0.93
csk-wtcat_apo_seed-1368324_sample-2_model,csk-wtcat_apo/seed-1368324_sample-2,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.15,73.98,14.32,,,6.35,13.61,2.75,,,,,3.4,8.09,7.36,9.86,3.69,8.17,5.0,3.32,3.43,3.53,N/A,0.94
csk-wtcat_apo_seed-1368324_sample-3_model,csk-wtcat_apo/seed-1368324_sample-3,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,60.69,72.99,14.09,,,6.37,13.62,2.77,,,,,3.46,8.08,7.31,9.83,3.74,8.08,4.67,3.22,3.61,3.51,N/A,0.93
csk-wtcat_apo_seed-1368324_sample-4_model,csk-wtcat_apo/seed-1368324_sample-4,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.74,75.26,15.03,,,6.35,13.74,2.79,,,,,3.45,8.07,7.32,9.86,4.1,8.12,4.58,3.24,3.64,3.53,N/A,0.93
csk-wtcat_apo_seed-1390232_sample-0_model,csk-wtcat_apo/seed-1390232_sample-0,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,62.84,74.66,14.44,,,6.38,13.69,2.7,,,,,3.45,8.07,7.35,9.79,3.72,8.07,4.7,3.29,3.67,3.51,N/A,0.93
csk-wtcat_apo_seed-1390232_sample-1_model,csk-wtcat_apo/seed-1390232_sample-1,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.29,73.87,13.81,,,6.37,13.57,2.77,,,,,3.48,8.13,7.37,9.82,3.67,8.07,5.06,3.36,3.94,3.52,N/A,0.93
csk-wtcat_apo_seed-1390232_sample-2_model,csk-wtcat_apo/seed-1390232_sample-2,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.69,71.56,14.17,,,6.43,13.77,2.8,,,,,3.48,8.09,7.31,9.81,3.65,8.13,4.62,3.26,4.03,3.52,N/A,0.93
csk-wtcat_apo_seed-1390232_sample-3_model,csk-wtcat_apo/seed-1390232_sample-3,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,60.9,73.95,14.32,,,6.42,13.63,2.75,,,,,3.47,8.09,7.33,9.74,3.71,7.99,4.99,3.36,3.62,3.52,N/A,0.94
csk-wtcat_apo_seed-1390232_sample-4_model,csk-wtcat_apo/seed-1390232_sample-4,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.3,74.79,14.02,,,6.36,13.66,2.75,,,,,3.45,8.07,7.35,9.78,3.73,8.05,4.71,3.25,3.54,3.52,N/A,0.93
csk-wtcat_apo_seed-1537969_sample-0_model,csk-wtcat_apo/seed-1537969_sample-0,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,60.67,72.97,14.62,,,6.47,13.97,3.24,,,,,3.49,8.09,7.33,9.85,4.08,8.09,4.94,3.41,3.85,3.53,N/A,0.93
csk-wtcat_apo_seed-1537969_sample-1_model,csk-wtcat_apo/seed-1537969_sample-1,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,60.98,76.03,14.88,,,6.42,13.74,2.72,,,,,3.49,8.13,7.36,9.82,3.7,8.03,5.02,3.35,3.71,3.53,N/A,0.93
csk-wtcat_apo_seed-1537969_sample-2_model,csk-wtcat_apo/seed-1537969_sample-2,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.57,73.96,14.58,,,6.34,13.8,2.8,,,,,3.45,8.12,7.33,9.82,4.07,8.08,5.04,3.37,3.51,3.53,N/A,0.93
csk-wtcat_apo_seed-1537969_sample-3_model,csk-wtcat_apo/seed-1537969_sample-3,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.44,72.25,14.52,,,6.42,13.77,2.82,,,,,3.43,8.1,7.36,9.82,4.04,8.06,4.97,3.31,3.63,3.54,N/A,0.93
csk-wtcat_apo_seed-1537969_sample-4_model,csk-wtcat_apo/seed-1537969_sample-4,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,60.96,72.73,14.15,,,6.47,13.84,2.87,,,,,3.48,8.12,7.38,9.94,4.07,8.13,4.73,3.34,4.05,3.56,N/A,0.93
csk-wtcat_apo_seed-1549447_sample-0_model,csk-wtcat_apo/seed-1549447_sample-0,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.06,73.86,14.8,,,6.39,13.78,2.71,,,,,3.42,8.1,7.39,9.8,3.69,8.1,5.01,3.38,3.95,3.54,N/A,0.93
csk-wtcat_apo_seed-1549447_sample-1_model,csk-wtcat_apo/seed-1549447_sample-1,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.42,72.46,14.42,,,6.48,13.8,2.74,,,,,3.45,8.06,7.35,9.84,3.72,8.06,4.65,3.26,3.56,3.53,N/A,0.93
csk-wtcat_apo_seed-1549447_sample-2_model,csk-wtcat_apo/seed-1549447_sample-2,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,60.58,76.14,14.61,,,6.37,13.71,2.7,,,,,3.46,8.07,7.32,9.81,3.71,8.12,4.61,3.24,3.82,3.53,N/A,0.93
csk-wtcat_apo_seed-1549447_sample-3_model,csk-wtcat_apo/seed-1549447_sample-3,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.18,71.51,14.35,,,6.35,13.6,2.74,,,,,3.51,8.09,7.33,9.81,3.73,8.09,4.94,3.38,3.63,3.53,N/A,0.93
csk-wtcat_apo_seed-1549447_sample-4_model,csk-wtcat_apo/seed-1549447_sample-4,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,60.93,73.49,14.68,,,6.37,13.71,2.73,,,,,3.47,8.11,7.39,9.81,4.1,8.05,5.02,3.43,3.63,3.49,N/A,0.93
csk-wtcat_apo_seed-1583322_sample-0_model,csk-wtcat_apo/seed-1583322_sample-0,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.47,76.14,14.3,,,6.35,13.79,2.74,,,,,3.46,8.05,7.29,9.79,3.71,8.14,4.6,3.25,3.62,3.51,N/A,0.93
csk-wtcat_apo_seed-1583322_sample-1_model,csk-wtcat_apo/seed-1583322_sample-1,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,60.98,76.26,14.58,,,6.38,13.78,2.75,,,,,3.37,8.08,7.36,9.79,4.0,8.1,4.96,3.27,3.51,3.54,N/A,0.93
csk-wtcat_apo_seed-1583322_sample-2_model,csk-wtcat_apo/seed-1583322_sample-2,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,60.4,74.99,14.26,,,6.43,13.66,2.71,,,,,3.43,8.08,7.33,9.77,3.74,8.02,4.64,3.24,3.9,3.52,N/A,0.93
csk-wtcat_apo_seed-1583322_sample-3_model,csk-wtcat_apo/seed-1583322_sample-3,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.12,76.54,14.36,,,6.38,13.64,2.72,,,,,3.47,8.06,7.32,9.77,3.68,8.04,4.59,3.24,3.64,3.5,N/A,0.93
